Date;Close;Open;High;Low;VIX ;IV;HV;IV Pctl;1D IV Chg;P/C Vol
04/04/2025;5074.08;5292.14;5292.14;5069.9;45.31;37.38%;100.00%;100%;+11.85%;1.79
07/04/2025;5062.25;4953.79;5246.57;4835.04;46.98;39.51%;100.00%;100%;+2.13%;2.00
08/04/2025;4982.77;5193.57;5267.47;4910.42;52.33;42.58%;100.00%;100%;+3.08%;1.78
09/04/2025;5456.9;4965.28;5481.34;4948.43;33.62;26.64%;56.24%;98%;-15.94%;1.50
10/04/2025;5268.05;5353.15;5353.15;5117.67;40.72;34.92%;78.95%;98%;+8.27%;1.46
11/04/2025;5363.36;5255.56;5381.46;5220.77;37.56;31.65%;69.97%;98%;-3.27%;1.26
14/04/2025;5405.97;5441.96;5459.04;5358.02;30.89;26.21%;55.05%;97%;-5.43%;1.25
15/04/2025;5396.63;5411.99;5450.41;5386.44;30.12;24.84%;51.29%;96%;-1.37%;1.36
16/04/2025;5275.7;5335.75;5367.24;5220.79;32.64;28.24%;60.62%;97%;+3.40%;1.48
17/04/2025;5282.7;5305.45;5328.31;5255.58;29.65;26.02%;54.54%;96%;-2.22%;1.37
21/04/2025;5158.2;5232.94;5232.94;5101.63;33.82;29.65%;64.49%;98%;+3.62%;1.32
22/04/2025;5287.76;5207.67;5309.61;5207.67;30.57;26.95%;57.07%;97%;-2.70%;1.19
23/04/2025;5375.86;5395.92;5469.69;5356.17;28.45;25.51%;53.13%;95%;-1.44%;1.20
24/04/2025;5484.77;5381.38;5489.4;5374.37;26.47;22.97%;46.15%;93%;-2.54%;1.34
25/04/2025;5525.21;5489.73;5528.11;5456.19;24.84;21.27%;41.48%;91%;-1.70%;1.37
28/04/2025;5528.75;5529.22;5552.96;5468.64;25.15;21.20%;41.30%;90%;-0.06%;1.17
29/04/2025;5560.83;5508.87;5571.95;5506.58;24.17;20.67%;39.83%;90%;-0.54%;1.21
30/04/2025;5569.06;5499.44;5581.01;5433.24;24.7;21.65%;42.53%;91%;+0.98%;1.06
01/05/2025;5604.14;5625.43;5658.91;5599.55;24.6;20.47%;39.30%;89%;-1.18%;1.21
02/05/2025;5686.67;5645.88;5700.7;5644.3;22.68;18.70%;34.42%;86%;-1.78%;1.28
05/05/2025;5650.38;5655.32;5683.38;5634.48;23.64;19.39%;36.33%;88%;+0.70%;1.29
06/05/2025;5606.91;5605.87;5649.58;5586.04;24.76;20.71%;39.96%;90%;+1.32%;1.23
07/05/2025;5631.28;5614.18;5654.73;5578.82;23.55;20.04%;38.11%;88%;-0.67%;1.29
08/05/2025;5663.94;5663.6;5720.1;5635.38;22.48;19.10%;35.53%;85%;-0.94%;1.14
09/05/2025;5659.91;5679.65;5691.69;5644.15;21.9;18.86%;34.86%;84%;-0.24%;1.24
12/05/2025;5844.19;5827.83;5845.2;5786.08;18.39;15.20%;24.83%;65%;-3.65%;1.29
13/05/2025;5886.55;5854.15;5906.64;5845.18;18.22;14.43%;22.69%;58%;-0.78%;1.13
14/05/2025;5892.58;5896.74;5906.45;5872.11;18.62;15.30%;25.09%;66%;+0.88%;1.08
15/05/2025;5916.93;5869.82;5924.21;5865.16;17.83;14.65%;23.31%;59%;-0.65%;1.08
16/05/2025;5958.38;5929.09;5958.62;5907.36;17.24;14.52%;22.96%;58%;-0.13%;1.12
19/05/2025;5963.6;5902.88;5968.61;5895.69;18.14;15.12%;24.59%;64%;+0.59%;1.23
20/05/2025;5940.46;5944.66;5953.06;5909.26;18.09;15.14%;24.65%;64%;+0.02%;1.15
21/05/2025;5844.61;5910.18;5938.37;5830.91;20.87;17.06%;29.93%;77%;+1.92%;1.25
22/05/2025;5842.01;5841.26;5878.08;5825.82;20.28;16.75%;29.07%;77%;-0.32%;1.19
23/05/2025;5802.82;5781.89;5829.51;5768.87;22.29;18.31%;33.36%;82%;+1.56%;1.38
27/05/2025;5921.54;5854.07;5924.33;5854.07;18.96;15.24%;24.91%;63%;-3.44%;1.42
28/05/2025;5888.55;5925.54;5939.62;5881.88;19.31;15.99%;26.99%;71%;+0.76%;1.15
29/05/2025;5912.17;5939.96;5939.96;5873.8;19.18;15.47%;25.57%;64%;-0.52%;1.15
30/05/2025;5911.69;5903.67;5922.09;5843.66;18.57;15.25%;24.96%;62%;-0.22%;1.18
02/06/2025;5935.94;5896.68;5937.4;5862.41;18.36;15.11%;24.56%;60%;-0.14%;1.13
03/06/2025;5970.37;5938.56;5981.35;5929;17.69;14.61%;23.20%;55%;-0.50%;1.19
04/06/2025;5970.81;5978.94;5990.48;5966.85;17.61;14.49%;22.86%;53%;-0.12%;1.19
05/06/2025;5939.3;5985.67;5999.7;5921.73;18.48;14.85%;23.87%;58%;+0.37%;1.23
06/06/2025;6000.36;5987.06;6016.87;5978.63;16.77;13.56%;20.32%;45%;-1.29%;1.37
09/06/2025;6005.88;6004.63;6021.31;5994.18;17.16;13.82%;21.04%;48%;+0.26%;1.17
10/06/2025;6038.81;6009.91;6043.01;6000.28;16.95;13.59%;20.38%;45%;-0.24%;1.28
11/06/2025;6022.24;6049.38;6059.4;6002.32;17.26;14.04%;21.63%;50%;+0.45%;1.25
12/06/2025;6045.26;6009.9;6045.43;6003.88;18.02;14.13%;21.87%;50%;+0.09%;1.40
13/06/2025;5976.97;6000.56;6026.16;5963.21;20.82;16.18%;27.50%;72%;+2.05%;1.40
16/06/2025;6033.11;6004;6050.83;6004;19.11;14.65%;23.32%;54%;-1.52%;1.32
17/06/2025;5982.72;6012.15;6023.25;5974.8;21.6;16.75%;29.09%;76%;+2.10%;1.47
